keyword,clicks_prev,clicks_curr,impressions_prev,impressions_curr,position_prev,position_curr
upsc syllabus 2025,3100,4200,64000,85000,5.8,4.2
ssc cgl notification 2025,2900,3800,55000,71000,6.2,5.1
neet mock test free,4800,5600,95000,110000,3.2,2.9
board result 2025,6200,8900,145000,190000,2.1,1.8
jee advanced 2025,2100,2900,44000,58000,5.9,4.5
ibps po 2025,800,1200,18000,25000,9.1,7.3
rrb ntpc 2025,1400,2100,31000,44000,7.2,5.8
cat 2025,700,980,15000,19500,10.2,8.1
upsc current affairs,1900,1600,38000,33000,6.1,8.4
ssc chsl 2025,1100,880,22000,17500,7.8,10.2
