url,page_title,sessions,pageviews,bounce_rate,avg_time,month
https://testbook.com/upsc-notes,UPSC Notes & Syllabus,42000,78000,0.52,4:32,2025-03
https://testbook.com/neet-mock-test,NEET Mock Test Free 2025,68000,130000,0.38,7:14,2025-03
https://testbook.com/board-results,Board Results 2025,95000,180000,0.71,1:48,2025-03
https://testbook.com/ssc-cgl,SSC CGL 2025 Complete Guide,38000,70000,0.45,5:22,2025-03
https://testbook.com/jee-advanced,JEE Advanced 2025,29000,54000,0.48,4:55,2025-03
https://testbook.com/ibps-po,IBPS PO 2025,18000,33000,0.55,3:44,2025-03
https://testbook.com/current-affairs,Current Affairs 2025,55000,105000,0.42,6:10,2025-03
https://testbook.com/rrb-ntpc,RRB NTPC 2025,24000,45000,0.49,4:18,2025-03
https://testbook.com/cat-prep,CAT 2025 Preparation,12000,22000,0.61,3:55,2025-03
https://testbook.com/upsc-mock-test,UPSC Free Mock Test,31000,58000,0.35,8:22,2025-03
