page,query,clicks,impressions,ctr,position,date
https://testbook.com/upsc-notes,upsc syllabus 2025,4200,85000,0.049,4.2,2025-03-01
https://testbook.com/upsc-notes,upsc exam date 2025,2100,42000,0.050,3.8,2025-03-01
https://testbook.com/ssc-cgl,ssc cgl notification 2025,3800,71000,0.054,5.1,2025-03-01
https://testbook.com/ssc-cgl,ssc cgl syllabus pdf,1900,38000,0.050,6.2,2025-03-01
https://testbook.com/neet-mock-test,neet mock test free 2025,5600,110000,0.051,2.9,2025-03-01
https://testbook.com/jee-advanced,jee advanced 2025 date,2900,58000,0.050,4.5,2025-03-01
https://testbook.com/board-results,cbse board result 2025,8900,190000,0.047,1.8,2025-03-01
https://testbook.com/ibps-po,ibps po 2025 notification,1200,25000,0.048,7.3,2025-03-01
https://testbook.com/rrb-ntpc,rrb ntpc 2025,2100,44000,0.048,5.8,2025-03-01
https://testbook.com/cat-prep,cat 2025 registration,980,19500,0.050,8.1,2025-03-01
